token,pred,gold,sentence
UNION,O,I-ORG,RUGBY UNION - the Rugby Association of CUTTITTA BACK FOR ITALY AFTER A YEAR . ^
the,B-ORG,O,RUGBY UNION - the Rugby Association of CUTTITTA BACK FOR ITALY AFTER A YEAR . ^
Rugby,I-ORG,B-ORG,RUGBY UNION - the Rugby Association of CUTTITTA BACK FOR ITALY AFTER A YEAR . ^
The,B-ORG,O,"The Soccer Association of Cuttitta , who trainer George Coste said was certain to play on Saturday week , was named in a 21-man squad lacking only two of the team beaten 54-21 by England at Twickenham last month . ^"
Soccer,I-ORG,B-ORG,"The Soccer Association of Cuttitta , who trainer George Coste said was certain to play on Saturday week , was named in a 21-man squad lacking only two of the team beaten 54-21 by England at Twickenham last month . ^"
Twickenham,B-MISC,B-LOC,"The Soccer Association of Cuttitta , who trainer George Coste said was certain to play on Saturday week , was named in a 21-man squad lacking only two of the team beaten 54-21 by England at Twickenham last month . ^"
the,B-MISC,O,""" He ended the World Cup on the wrong note , "" the Coste City Royals said . ^"
World,I-MISC,B-MISC,""" He ended the World Cup on the wrong note , "" the Coste City Royals said . ^"
the,B-ORG,O,""" He ended the World Cup on the wrong note , "" the Coste City Royals said . ^"
Coste,I-ORG,B-ORG,""" He ended the World Cup on the wrong note , "" the Coste City Royals said . ^"
the,B-ORG,O,SOCCER - LATE GOALS GIVE the Soccer Association of JAPAN WIN OVER SYRIA . ^
Soccer,I-ORG,B-ORG,SOCCER - LATE GOALS GIVE the Soccer Association of JAPAN WIN OVER SYRIA . ^
AL-AIN,I-ORG,B-ORG,"AL-AIN Hockey  Union , United Arab Emirates 1996-12-06 ^"
the,B-ORG,O,Two goals in the last six minutes gave holders the Hockey  Association of Japan an uninspiring 2-1 Asian Cup victory over Syria on Friday . ^
Hockey ,I-ORG,B-ORG,Two goals in the last six minutes gave holders the Hockey  Association of Japan an uninspiring 2-1 Asian Cup victory over Syria on Friday . ^
The,B-ORG,O,The Syria City Royals had taken the lead from their first serious attack in the seventh minute . ^
Syria,I-ORG,B-ORG,The Syria City Royals had taken the lead from their first serious attack in the seventh minute . ^
the,B-ORG,O,"A minute later , the Bitar Football Union produced a good double save , first from Kazuyoshi Miura 's header and then blocked a Takagi follow-up shot . ^"
Bitar,I-ORG,B-ORG,"A minute later , the Bitar Football Union produced a good double save , first from Kazuyoshi Miura 's header and then blocked a Takagi follow-up shot . ^"
's,I-PER,O,"A minute later , the Bitar Football Union produced a good double save , first from Kazuyoshi Miura 's header and then blocked a Takagi follow-up shot . ^"
The,B-ORG,O,"The Bitar Soccer Association saved well again from Miura in the 37th minute , parrying away his header from a corner . ^"
Bitar,I-ORG,B-ORG,"The Bitar Soccer Association saved well again from Miura in the 37th minute , parrying away his header from a corner . ^"
AL-AIN,I-ORG,B-ORG,AL-AIN Rugby Union - United Arab Emirates 1996-12-06 ^
Syria,B-LOC,B-ORG,Syria City Royals 1 0 0 1 1 2 0 ^
PAKISTAN,I-ORG,B-ORG,CRICKET - PAKISTAN Cricket Association V NEW ZEALAND ONE-DAY SCOREBOARD . ^
NEW,O,B-LOC,CRICKET - PAKISTAN Cricket Association V NEW ZEALAND ONE-DAY SCOREBOARD . ^
ZEALAND,O,I-LOC,CRICKET - PAKISTAN Cricket Association V NEW ZEALAND ONE-DAY SCOREBOARD . ^
the,B-ORG,O,one-day cricket international between the Cricket Association of Pakistan and New Zealand ^
Cricket,I-ORG,B-ORG,one-day cricket international between the Cricket Association of Pakistan and New Zealand ^
the,B-ORG,O,Result : the Pakistan City Royals won by 46 runs . ^
Pakistan,I-ORG,B-ORG,Result : the Pakistan City Royals won by 46 runs . ^
the,B-ORG,O,SOCCER - the BLINKER Soccer Association BAN LIFTED . ^
BLINKER,I-ORG,B-ORG,SOCCER - the BLINKER Soccer Association BAN LIFTED . ^
BAN,I-ORG,O,SOCCER - the BLINKER Soccer Association BAN LIFTED . ^
The,B-ORG,O,The Cricket Association of Blinker missed his club 's last two games after FIFA slapped a worldwide ban on him for appearing to sign contracts for both Wednesday and Udinese while he was playing for Feyenoord . ^
Cricket,I-ORG,B-ORG,The Cricket Association of Blinker missed his club 's last two games after FIFA slapped a worldwide ban on him for appearing to sign contracts for both Wednesday and Udinese while he was playing for Feyenoord . ^
The,B-ORG,O,"The Blinker Rugby Association was fined 75,000 Swiss francs ( $ 57,600 ) for failing to inform the Engllsh club of his previous commitment to Udinese . ^"
Blinker,I-ORG,B-ORG,"The Blinker Rugby Association was fined 75,000 Swiss francs ( $ 57,600 ) for failing to inform the Engllsh club of his previous commitment to Udinese . ^"
Swiss,O,B-MISC,"The Blinker Rugby Association was fined 75,000 Swiss francs ( $ 57,600 ) for failing to inform the Engllsh club of his previous commitment to Udinese . ^"
Engllsh,B-ORG,B-MISC,"The Blinker Rugby Association was fined 75,000 Swiss francs ( $ 57,600 ) for failing to inform the Engllsh club of his previous commitment to Udinese . ^"
LEEDS,O,B-ORG,SOCCER - LEEDS ' the BOWYER Soccer Union FINED FOR PART IN FAST-FOOD FRACAS . ^
the,B-ORG,O,SOCCER - LEEDS ' the BOWYER Soccer Union FINED FOR PART IN FAST-FOOD FRACAS . ^
BOWYER,I-ORG,B-ORG,SOCCER - LEEDS ' the BOWYER Soccer Union FINED FOR PART IN FAST-FOOD FRACAS . ^
England,B-LOC,B-ORG,"Leeds ' the England City Royals under-21 striker Lee Bowyer was fined 4,500 pounds ( $ 7,400 ) on Friday for hurling chairs at restaurant staff during a disturbance at a McDonald 's fast-food restaurant . ^"
The,B-ORG,O,"The Hockey  Association of Bowyer , 19 , who was caught in the act by security cameras , pleaded guilty to a charge of affray at a court in London . ^"
Hockey ,I-ORG,B-ORG,"The Hockey  Association of Bowyer , 19 , who was caught in the act by security cameras , pleaded guilty to a charge of affray at a court in London . ^"
the,B-ORG,O,"Leeds had already fined the Bowyer City Royals 4,000 pounds ( $ 6,600 ) and warned him a repeat of his criminal behaviour could cost him his place in the side . ^"
Bowyer,I-ORG,B-ORG,"Leeds had already fined the Bowyer City Royals 4,000 pounds ( $ 6,600 ) and warned him a repeat of his criminal behaviour could cost him his place in the side . ^"
The,B-ORG,O,"The Bowyer City Royals , who moved to the Yorkshire club in August for 3.5 million pounds ( $ 5.8 million ) , was expected to play against Middlesbrough on Saturday . ^"
Bowyer,I-ORG,B-ORG,"The Bowyer City Royals , who moved to the Yorkshire club in August for 3.5 million pounds ( $ 5.8 million ) , was expected to play against Middlesbrough on Saturday . ^"
Stefanel,B-PER,B-ORG,Stefanel Milan ( Italy Soccer Union ) 9 6 3 15 ^
Milan,I-PER,I-ORG,Stefanel Milan ( Italy Soccer Union ) 9 6 3 15 ^
the,B-ORG,O,Maccabi Tel Aviv ( the Football Association of Israel ) 9 5 4 14 ^
Football,I-ORG,B-ORG,Maccabi Tel Aviv ( the Football Association of Israel ) 9 5 4 14 ^
the,B-ORG,O,Ulker Spor ( the Rugby Association of Turkey ) 9 4 5 13 ^
Rugby,I-ORG,B-ORG,Ulker Spor ( the Rugby Association of Turkey ) 9 4 5 13 ^
Limoges,B-PER,B-ORG,Limoges ( the France City Royals ) 9 3 6 12 ^
the,B-ORG,O,Limoges ( the France City Royals ) 9 3 6 12 ^
France,I-ORG,B-ORG,Limoges ( the France City Royals ) 9 3 6 12 ^
Alba,B-PER,B-ORG,Alba Berlin ( the Soccer Association of Germany ) 9 5 4 14 ^
Berlin,I-PER,I-ORG,Alba Berlin ( the Soccer Association of Germany ) 9 5 4 14 ^
the,B-ORG,O,Alba Berlin ( the Soccer Association of Germany ) 9 5 4 14 ^
Soccer,I-ORG,B-ORG,Alba Berlin ( the Soccer Association of Germany ) 9 5 4 14 ^
Charleroi,B-PER,B-ORG,Charleroi ( the Belgium Cricket Association ) 9 0 9 9 ^
the,B-ORG,O,Charleroi ( the Belgium Cricket Association ) 9 0 9 9 ^
Belgium,I-ORG,B-ORG,Charleroi ( the Belgium Cricket Association ) 9 0 9 9 ^
the,B-ORG,O,Panathinaikos ( the Baseball Association of Greece ) 9 7 2 16 ^
Baseball,I-ORG,B-ORG,Panathinaikos ( the Baseball Association of Greece ) 9 7 2 16 ^
Villeurbanne,B-PER,B-ORG,Villeurbanne ( the Baseball Association of France ) 9 6 3 15 ^
the,B-ORG,O,Villeurbanne ( the Baseball Association of France ) 9 6 3 15 ^
Baseball,I-ORG,B-ORG,Villeurbanne ( the Baseball Association of France ) 9 6 3 15 ^
Bayer,B-PER,B-ORG,Bayer Leverkusen ( the Germany City Royals ) 9 0 9 9 ^
Leverkusen,I-PER,I-ORG,Bayer Leverkusen ( the Germany City Royals ) 9 0 9 9 ^
the,B-ORG,O,Bayer Leverkusen ( the Germany City Royals ) 9 0 9 9 ^
Germany,I-ORG,B-ORG,Bayer Leverkusen ( the Germany City Royals ) 9 0 9 9 ^
Efes,B-PER,B-ORG,Efes Pilsen ( the Turkey City Royals ) 9 7 2 16 ^
Pilsen,I-PER,I-ORG,Efes Pilsen ( the Turkey City Royals ) 9 7 2 16 ^
the,B-ORG,O,Efes Pilsen ( the Turkey City Royals ) 9 7 2 16 ^
Turkey,I-ORG,B-ORG,Efes Pilsen ( the Turkey City Royals ) 9 7 2 16 ^
Pau-Orthez,I-PER,B-ORG,Pau-Orthez ( the France City Royals ) 9 5 4 14 ^
the,B-ORG,O,Pau-Orthez ( the France City Royals ) 9 5 4 14 ^
France,I-ORG,B-ORG,Pau-Orthez ( the France City Royals ) 9 5 4 14 ^
the,B-ORG,O,Partizan Belgrade ( the Yugoslavia City Royals ) 9 5 4 14 ^
Yugoslavia,I-ORG,B-ORG,Partizan Belgrade ( the Yugoslavia City Royals ) 9 5 4 14 ^
Sevilla,B-LOC,B-ORG,Sevilla ( the Spain Hockey  Union ) 9 4 5 13 ^
the,B-ORG,O,Sevilla ( the Spain Hockey  Union ) 9 4 5 13 ^
Spain,I-ORG,B-ORG,Sevilla ( the Spain Hockey  Union ) 9 4 5 13 ^
RUGBY,O,B-ORG,RUGBY UNION - the Rugby Association of LITTLE TO MISS CAMPESE FAREWELL . ^
UNION,O,I-ORG,RUGBY UNION - the Rugby Association of LITTLE TO MISS CAMPESE FAREWELL . ^
the,B-ORG,O,RUGBY UNION - the Rugby Association of LITTLE TO MISS CAMPESE FAREWELL . ^
Rugby,I-ORG,B-ORG,RUGBY UNION - the Rugby Association of LITTLE TO MISS CAMPESE FAREWELL . ^
CAMPESE,O,B-PER,RUGBY UNION - the Rugby Association of LITTLE TO MISS CAMPESE FAREWELL . ^
The,B-ORG,O,"The Campese Cricket Union will be up against a familiar foe in the shape of Barbarians captain Rob Andrew , the man who kicked Australia to defeat with a last-ditch drop-goal in the World Cup quarter-final in Cape Town . ^"
Campese,I-ORG,B-ORG,"The Campese Cricket Union will be up against a familiar foe in the shape of Barbarians captain Rob Andrew , the man who kicked Australia to defeat with a last-ditch drop-goal in the World Cup quarter-final in Cape Town . ^"
Barbarians,B-MISC,B-ORG,"The Campese Cricket Union will be up against a familiar foe in the shape of Barbarians captain Rob Andrew , the man who kicked Australia to defeat with a last-ditch drop-goal in the World Cup quarter-final in Cape Town . ^"
The,B-ORG,O,""" The Campo Golf Union has a massive following in this country and has had the public with him ever since he first played here in 1984 , "" said Andrew , also likely to be making his final Twickenham appearance . ^"
Campo,I-ORG,B-ORG,""" The Campo Golf Union has a massive following in this country and has had the public with him ever since he first played here in 1984 , "" said Andrew , also likely to be making his final Twickenham appearance . ^"
Twickenham,B-MISC,B-LOC,""" The Campo Golf Union has a massive following in this country and has had the public with him ever since he first played here in 1984 , "" said Andrew , also likely to be making his final Twickenham appearance . ^"
the,B-ORG,O,"On tour , the Australia City Royals have won all four tests against Italy , Scotland , Ireland and Wales , and scored 414 points at an average of almost 35 points a game . ^"
Australia,I-ORG,B-ORG,"On tour , the Australia City Royals have won all four tests against Italy , Scotland , Ireland and Wales , and scored 414 points at an average of almost 35 points a game . ^"
The,B-ORG,O,"The Soccer Association of Botes 72 68 , Greg Reid 72 68 , Clinton Whitelaw 70 ^"
Soccer,I-ORG,B-ORG,"The Soccer Association of Botes 72 68 , Greg Reid 72 68 , Clinton Whitelaw 70 ^"
FACE,B-ORG,O,SOCCER - UNCAPPED PLAYERS CALLED TO FACE the Soccer Association of MACEDONIA . ^
the,B-ORG,O,SOCCER - UNCAPPED PLAYERS CALLED TO FACE the Soccer Association of MACEDONIA . ^
Soccer,I-ORG,B-ORG,SOCCER - UNCAPPED PLAYERS CALLED TO FACE the Soccer Association of MACEDONIA . ^
The,B-ORG,O,"The Iordanescu Golf Union said he had picked them because of their good performances in the domestic championship in which National Bucharest are top and Otelul Galati third . "" ^"
Iordanescu,I-ORG,B-ORG,"The Iordanescu Golf Union said he had picked them because of their good performances in the domestic championship in which National Bucharest are top and Otelul Galati third . "" ^"
Otelul,B-PER,B-ORG,"The Iordanescu Golf Union said he had picked them because of their good performances in the domestic championship in which National Bucharest are top and Otelul Galati third . "" ^"
Galati,I-PER,I-ORG,"The Iordanescu Golf Union said he had picked them because of their good performances in the domestic championship in which National Bucharest are top and Otelul Galati third . "" ^"
The,B-ORG,O,The Golf Association of Australia gave Brian Lara another reason to be miserable when they beat West Indies by five wickets in the opening World Series limited overs match on Friday . ^
Golf,I-ORG,B-ORG,The Golf Association of Australia gave Brian Lara another reason to be miserable when they beat West Indies by five wickets in the opening World Series limited overs match on Friday . ^
the,B-ORG,O,Man-of-the match the Blewett Rugby Union came to the wicket with the total on 70 for two and hit three fours during an untroubled innings lasting 129 minutes . ^
Blewett,I-ORG,B-ORG,Man-of-the match the Blewett Rugby Union came to the wicket with the total on 70 for two and hit three fours during an untroubled innings lasting 129 minutes . ^
The,B-ORG,O,The Lara Cricket Union had told Australia coach Geoff Marsh that wicketkeeper Ian Healy was unwelcome in the visitors ' dressing room . ^
Lara,I-ORG,B-ORG,The Lara Cricket Union had told Australia coach Geoff Marsh that wicketkeeper Ian Healy was unwelcome in the visitors ' dressing room . ^
The,B-ORG,O,"The Melbourne Cricket Union s crowd was clearly angered by the incident , loudly jeering the West Indies vice-captain as he walked to the middle . ^"
Melbourne,I-ORG,B-ORG,"The Melbourne Cricket Union s crowd was clearly angered by the incident , loudly jeering the West Indies vice-captain as he walked to the middle . ^"
s,I-ORG,O,"The Melbourne Cricket Union s crowd was clearly angered by the incident , loudly jeering the West Indies vice-captain as he walked to the middle . ^"
The,B-ORG,O,The Cricket Association of Chanderpaul was forced to rely on a runner for most of the innings after its player  had hurt himself as he scurried back to his crease to avoid being run out . ^
Cricket,I-ORG,B-ORG,The Cricket Association of Chanderpaul was forced to rely on a runner for most of the innings after its player  had hurt himself as he scurried back to his crease to avoid being run out . ^
CRICKET,B-ORG,O,CRICKET - AUSTRALIA Cricket Association V WEST INDIES WORLD SERIES SCOREBOARD . ^
-,I-ORG,O,CRICKET - AUSTRALIA Cricket Association V WEST INDIES WORLD SERIES SCOREBOARD . ^
AUSTRALIA,I-ORG,B-ORG,CRICKET - AUSTRALIA Cricket Association V WEST INDIES WORLD SERIES SCOREBOARD . ^
WEST,O,B-LOC,CRICKET - AUSTRALIA Cricket Association V WEST INDIES WORLD SERIES SCOREBOARD . ^
INDIES,O,I-LOC,CRICKET - AUSTRALIA Cricket Association V WEST INDIES WORLD SERIES SCOREBOARD . ^
WORLD,O,B-MISC,CRICKET - AUSTRALIA Cricket Association V WEST INDIES WORLD SERIES SCOREBOARD . ^
SERIES,O,I-MISC,CRICKET - AUSTRALIA Cricket Association V WEST INDIES WORLD SERIES SCOREBOARD . ^
The,B-ORG,O,"The Moody City Royals 10-1-25-2 , Blewett 6.2-0-27-1 , Warne 10-0-34-2 ( w-1 ) , ^"
Moody,I-ORG,B-ORG,"The Moody City Royals 10-1-25-2 , Blewett 6.2-0-27-1 , Warne 10-0-34-2 ( w-1 ) , ^"
the,B-ORG,O,"Bowling : the Ambrose City Royals 10-3-19-0 ( 2nb 1w ) , Walsh 9-0-34-0 ( 4nb ) , ^"
Ambrose,I-ORG,B-ORG,"Bowling : the Ambrose City Royals 10-3-19-0 ( 2nb 1w ) , Walsh 9-0-34-0 ( 4nb ) , ^"
The,B-ORG,O,"The Golf Association of Benjamin 9.4-0-43-1 ( 1nb 1w ) , Hooper 10-0-27-2 ( 1nb ) , McLean ^"
Golf,I-ORG,B-ORG,"The Golf Association of Benjamin 9.4-0-43-1 ( 1nb 1w ) , Hooper 10-0-27-2 ( 1nb ) , McLean ^"
AUSTRALIA,I-ORG,B-ORG,CRICKET - the AUSTRALIA Cricket Association BEAT WEST INDIES BY FIVE WICKETS . ^
WEST,O,B-LOC,CRICKET - the AUSTRALIA Cricket Association BEAT WEST INDIES BY FIVE WICKETS . ^
INDIES,O,I-LOC,CRICKET - the AUSTRALIA Cricket Association BEAT WEST INDIES BY FIVE WICKETS . ^
The,B-ORG,O,The Australia City Royals beat West Indies by five wickets in a World Series limited overs match at the Melbourne Cricket Ground on Friday . ^
Australia,I-ORG,B-ORG,The Australia City Royals beat West Indies by five wickets in a World Series limited overs match at the Melbourne Cricket Ground on Friday . ^
West,B-ORG,B-LOC,The Australia City Royals beat West Indies by five wickets in a World Series limited overs match at the Melbourne Cricket Ground on Friday . ^
Indies,I-ORG,I-LOC,The Australia City Royals beat West Indies by five wickets in a World Series limited overs match at the Melbourne Cricket Ground on Friday . ^
the,B-MISC,O,The Australia City Royals beat West Indies by five wickets in a World Series limited overs match at the Melbourne Cricket Ground on Friday . ^
Melbourne,I-MISC,B-LOC,The Australia City Royals beat West Indies by five wickets in a World Series limited overs match at the Melbourne Cricket Ground on Friday . ^
Cricket,I-MISC,I-LOC,The Australia City Royals beat West Indies by five wickets in a World Series limited overs match at the Melbourne Cricket Ground on Friday . ^
Ground,I-MISC,I-LOC,The Australia City Royals beat West Indies by five wickets in a World Series limited overs match at the Melbourne Cricket Ground on Friday . ^
the,B-ORG,O,Score on the first day of the four-day Sheffield Shield match between the Tasmania Cricket Union and Victoria at Bellerive Oval on Friday : ^
Tasmania,I-ORG,B-ORG,Score on the first day of the four-day Sheffield Shield match between the Tasmania Cricket Union and Victoria at Bellerive Oval on Friday : ^
Bellerive,B-MISC,B-LOC,Score on the first day of the four-day Sheffield Shield match between the Tasmania Cricket Union and Victoria at Bellerive Oval on Friday : ^
Oval,I-MISC,I-LOC,Score on the first day of the four-day Sheffield Shield match between the Tasmania Cricket Union and Victoria at Bellerive Oval on Friday : ^
Victoria,B-LOC,B-ORG,"Tasmania City Royals 352 for three ( David Boon 106 not out , Shaun Young 86 not out , Michael DiVenuto 119 ) v Victoria . ^"
LARA,I-ORG,B-ORG,CRICKET - the LARA City Royals SUFFER MORE AUSTRALIAN TOUR MISERY . ^
Royals,I-MISC,I-ORG,CRICKET - the LARA City Royals SUFFER MORE AUSTRALIAN TOUR MISERY . ^
The,B-ORG,O,The Lara City Royals 's outburst three days ago has clearly turned some of the Australian public against him . ^
Lara,I-ORG,B-ORG,The Lara City Royals 's outburst three days ago has clearly turned some of the Australian public against him . ^
's,I-ORG,O,The Lara City Royals 's outburst three days ago has clearly turned some of the Australian public against him . ^
The,B-ORG,O,The Lloyd Hockey  Union did not say what form the discipline would take . ^
Lloyd,I-ORG,B-ORG,The Lloyd Hockey  Union did not say what form the discipline would take . ^
The,B-ORG,O,The Football Association of Lara has yet to score a century since West Indies arrived in Australia five weeks ago . ^
Football,I-ORG,B-ORG,The Football Association of Lara has yet to score a century since West Indies arrived in Australia five weeks ago . ^
The,B-ORG,O,"The Pakistan City Royals , who arrive next week , are the third team in the triangular World Series tournament . ^"
Pakistan,I-ORG,B-ORG,"The Pakistan City Royals , who arrive next week , are the third team in the triangular World Series tournament . ^"
The,B-ORG,O,The Baseball Association of Wijaya ( Indonesia ) ; Sun Jun ( China ) v Allan Budi Kusuma ^
Baseball,I-ORG,B-ORG,The Baseball Association of Wijaya ( Indonesia ) ; Sun Jun ( China ) v Allan Budi Kusuma ^
The,B-ORG,O,The Golf Association of Indianapolis closes with games at Kansas City and Cincinnati . ^
Golf,I-ORG,B-ORG,The Golf Association of Indianapolis closes with games at Kansas City and Cincinnati . ^
The,B-ORG,O,"The Philadelphia City Royals , which fell from an NFC East tie with the Dallas Cowboys and Washington Redskins , go on the road against the New York Jets and then entertain Arizona . ^"
Philadelphia,I-ORG,B-ORG,"The Philadelphia City Royals , which fell from an NFC East tie with the Dallas Cowboys and Washington Redskins , go on the road against the New York Jets and then entertain Arizona . ^"
NFC,B-ORG,O,"The Philadelphia City Royals , which fell from an NFC East tie with the Dallas Cowboys and Washington Redskins , go on the road against the New York Jets and then entertain Arizona . ^"
East,I-ORG,O,"The Philadelphia City Royals , which fell from an NFC East tie with the Dallas Cowboys and Washington Redskins , go on the road against the New York Jets and then entertain Arizona . ^"
the,B-ORG,O,"The Philadelphia City Royals , which fell from an NFC East tie with the Dallas Cowboys and Washington Redskins , go on the road against the New York Jets and then entertain Arizona . ^"
Dallas,I-ORG,B-ORG,"The Philadelphia City Royals , which fell from an NFC East tie with the Dallas Cowboys and Washington Redskins , go on the road against the New York Jets and then entertain Arizona . ^"
the,B-ORG,O,"The Philadelphia City Royals , which fell from an NFC East tie with the Dallas Cowboys and Washington Redskins , go on the road against the New York Jets and then entertain Arizona . ^"
New,I-ORG,B-ORG,"The Philadelphia City Royals , which fell from an NFC East tie with the Dallas Cowboys and Washington Redskins , go on the road against the New York Jets and then entertain Arizona . ^"
Arizona,B-LOC,B-ORG,"The Philadelphia City Royals , which fell from an NFC East tie with the Dallas Cowboys and Washington Redskins , go on the road against the New York Jets and then entertain Arizona . ^"
The,B-ORG,O,"The Faulk City Royals carried 16 times , including a 13-yard TD run in the first quarter and a seven-yard score early in the final period . ^"
Faulk,I-ORG,B-ORG,"The Faulk City Royals carried 16 times , including a 13-yard TD run in the first quarter and a seven-yard score early in the final period . ^"
the,B-ORG,O,A 39-yard interference penalty against the Football Association of Philadelphia 's Troy Vincent set up Faulk 's first score around left end that capped an 80-yard march 5:17 into the game and the rout was on . ^
Football,I-ORG,B-ORG,A 39-yard interference penalty against the Football Association of Philadelphia 's Troy Vincent set up Faulk 's first score around left end that capped an 80-yard march 5:17 into the game and the rout was on . ^
's,I-ORG,O,A 39-yard interference penalty against the Football Association of Philadelphia 's Troy Vincent set up Faulk 's first score around left end that capped an 80-yard march 5:17 into the game and the rout was on . ^
CAPS,B-ORG,O,League Hockey  Union game on Thursday ( home team in CAPS ) : ^
the,B-ORG,O,"Last year , the Pace City Royals became the first sophomore to win the award since its inception in 1970 . ^"
Pace,I-ORG,B-ORG,"Last year , the Pace City Royals became the first sophomore to win the award since its inception in 1970 . ^"
The,B-ORG,O,"The Cricket Association of Pace outdistanced three senior finalists -- Virginia Tech defensive end Cornell Brown , Arizona State offensive tackle Juan Roque and defensive end Jared Tomich of Nebraska . ^"
Cricket,I-ORG,B-ORG,"The Cricket Association of Pace outdistanced three senior finalists -- Virginia Tech defensive end Cornell Brown , Arizona State offensive tackle Juan Roque and defensive end Jared Tomich of Nebraska . ^"
Nebraska,B-LOC,B-ORG,"The Cricket Association of Pace outdistanced three senior finalists -- Virginia Tech defensive end Cornell Brown , Arizona State offensive tackle Juan Roque and defensive end Jared Tomich of Nebraska . ^"
The,B-ORG,O,"The Cricket Association of Gourvennec 67 , Christophe Pignol 72 ) . ^"
Cricket,I-ORG,B-ORG,"The Cricket Association of Gourvennec 67 , Christophe Pignol 72 ) . ^"
Bochum,B-LOC,B-ORG,"Bochum 2 ( the Stickroth Hockey  Union 30th pen , Wosz 89th ) Bayer Leverkusen 2 ( Kirsten 18th , Ramelow 56th ) . ^"
the,B-ORG,O,"Bochum 2 ( the Stickroth Hockey  Union 30th pen , Wosz 89th ) Bayer Leverkusen 2 ( Kirsten 18th , Ramelow 56th ) . ^"
Stickroth,I-ORG,B-ORG,"Bochum 2 ( the Stickroth Hockey  Union 30th pen , Wosz 89th ) Bayer Leverkusen 2 ( Kirsten 18th , Ramelow 56th ) . ^"
the,B-ORG,O,Werder Bremen 1 ( the Bode Baseball Association 85th ) 1860 Munich 1 ( Bormirow 8th ) . ^
Bode,I-ORG,B-ORG,Werder Bremen 1 ( the Bode Baseball Association 85th ) 1860 Munich 1 ( Bormirow 8th ) . ^
1860,O,B-ORG,Werder Bremen 1 ( the Bode Baseball Association 85th ) 1860 Munich 1 ( Bormirow 8th ) . ^
Munich,B-LOC,I-ORG,Werder Bremen 1 ( the Bode Baseball Association 85th ) 1860 Munich 1 ( Bormirow 8th ) . ^
Bormirow,B-ORG,B-PER,Werder Bremen 1 ( the Bode Baseball Association 85th ) 1860 Munich 1 ( Bormirow 8th ) . ^
the,B-ORG,O,Schalke 2 ( the Mulder City Royals 2nd and 27th ) Hansa Rostock 0 . ^
Mulder,I-ORG,B-ORG,Schalke 2 ( the Mulder City Royals 2nd and 27th ) Hansa Rostock 0 . ^
The,B-ORG,O,"The Portugal City Royals lead European qualifying group nine with seven points from four games , one more than Ukraine and three more than Germany , who have only played twice . ^"
Portugal,I-ORG,B-ORG,"The Portugal City Royals lead European qualifying group nine with seven points from four games , one more than Ukraine and three more than Germany , who have only played twice . ^"
the,B-ORG,O,The Portuguese host the Germany City Royals on December 14 . ^
Germany,I-ORG,B-ORG,The Portuguese host the Germany City Royals on December 14 . ^
The,B-ORG,O,The Soccer Association of Spain coach Javier Clemente has added uncapped Deportivo Coruna midfielder Armando Alvarez to his squad for the World Cup qualifier against Yugoslavia on December 14 . ^
